yields.id,genus,species,sitename,lat,lon,fertilizer_n,irrigated,planting_year,year,stand_age,planting_density,yield
1125,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,0
1126,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,0
1127,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.8
1128,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,0
1129,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,0
1130,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,1.1
1131,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,0
1132,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,0
1133,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.8
1134,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,0
1135,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,0
1136,Miscanthus,Miscanthus sacchariflorus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.5
1137,Miscanthus,Miscanthus sacchariflorus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,0.7
1138,Miscanthus,Miscanthus sacchariflorus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,1.4
1139,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.9
1140,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,5.2
1141,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,16.4
1142,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,1.1
