"yields.id","genus","species","lat","lon","fertilizer_n","planting_date","planting_density","year","yield","irrigated"
1235,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,1,TRUE
1236,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1998,7.3,TRUE
1237,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,19.2,TRUE
1238,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,3,TRUE
1239,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1998,7.6,TRUE
1240,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,10.3,TRUE
1241,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,1.9,TRUE
1242,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1998,9.7,TRUE
1243,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,19.1,TRUE
1244,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,0.7,TRUE
1245,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1998,4.4,TRUE
1246,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,12.8,TRUE
1247,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,0.6,TRUE
1248,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1998,4.5,TRUE
1249,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,10.9,TRUE
1250,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,1,TRUE
1251,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1998,5,TRUE
1252,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,12.3,TRUE
1253,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,0.5,TRUE
1254,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1998,3.6,TRUE
1255,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,10.4,TRUE
1256,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,0.5,TRUE
1257,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1998,2.5,TRUE
1258,"Miscanthus","Miscanthus sinensis",48.67,9,60,1996,"20000",1997,9.1,TRUE
1259,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,8.4,TRUE
1260,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1998,26.9,TRUE
1261,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1999,37.8,TRUE
1262,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,4.6,TRUE
1263,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1998,25.5,TRUE
1264,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1999,36.4,TRUE
